"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Area
Liberia,7384.0,,294.0,,5747.0,,1343.0,2.0,1405.0,56.0,139824.0,26603.0,5255877.0,Africa
Solomon Islands,7258.0,,111.0,,1783.0,,5364.0,2.0,10152.0,155.0,5117.0,7157.0,714966.0,Australia/Oceania
Chad,7255.0,,190.0,,4874.0,,2191.0,,422.0,11.0,191341.0,11117.0,17211455.0,Africa
St. Vincent Grenadines,6742.0,,106.0,,6627.0,,9.0,,60451.0,950.0,98236.0,880819.0,111528.0,North America
British Virgin Islands,6091.0,,62.0,,,,,1.0,199267.0,2028.0,100749.0,3296005.0,30567.0,North America
Sao Tome and Principe,5934.0,,72.0,,5859.0,2.0,3.0,,26263.0,319.0,29036.0,128508.0,225947.0,Africa
Turks and Caicos,5867.0,,36.0,,5787.0,,44.0,4.0,148190.0,909.0,419792.0,10603218.0,39591.0,North America
Saint Kitts and Nevis,5533.0,2.0,42.0,,5485.0,1.0,6.0,1.0,102792.0,780.0,65141.0,1210192.0,53827.0,North America
Palau,3844.0,10.0,6.0,,3313.0,,525.0,5.0,210769.0,329.0,37269.0,2043481.0,18238.0,Australia/Oceania
St. Barth,3780.0,,6.0,,,,,,380780.0,604.0,78646.0,7922434.0,9927.0,North America
Kiribati,2974.0,10.0,11.0,,2300.0,39.0,663.0,4.0,24276.0,90.0,,,122506.0,Australia/Oceania
Anguilla,2555.0,,9.0,,2528.0,,18.0,4.0,167805.0,591.0,51382.0,3374622.0,15226.0,North America
Saint Pierre Miquelon,1102.0,15.0,1.0,,1070.0,5.0,31.0,1.0,191752.0,174.0,17358.0,3020358.0,5747.0,North America
Tonga,715.0,70.0,,,304.0,1.0,411.0,,6639.0,,34012.0,315821.0,107694.0,Australia/Oceania
Wallis and Futuna,454.0,,7.0,,438.0,,9.0,,41613.0,642.0,20508.0,1879743.0,10910.0,Australia/Oceania
Montserrat,164.0,,2.0,,161.0,,1.0,,32820.0,400.0,8359.0,1672804.0,4997.0,North America
Falkland Islands,114.0,,,,,,,,31241.0,,8632.0,2365580.0,3649.0,South America
Cook Islands,95.0,11.0,,,8.0,1.0,87.0,,5400.0,,2358.0,134046.0,17591.0,Australia/Oceania
Macao,82.0,,,,79.0,,3.0,,123.0,,5318.0,8008.0,664102.0,Asia
Samoa,33.0,,,,28.0,,5.0,,164.0,,,,200614.0,Australia/Oceania
Vatican City,29.0,,,,28.0,,1.0,,36070.0,,,,804.0,Europe
Vanuatu,18.0,,1.0,,6.0,,11.0,,56.0,3.0,23000.0,72075.0,319112.0,Australia/Oceania
Western Sahara,10.0,,1.0,,8.0,,1.0,,16.0,2.0,,,621823.0,Africa
